Model,R2,RMSE,MAE
OLS (Simple),0.5842445975713633,0.44605015586878316,0.3550042723039217
Ridge CV (Clusters),-0.4210734927332588,0.8495201591093107,0.6883680794665616
Lasso CV (Clusters),-0.06553986964047076,0.734438278251303,0.6306029858622498
Random Forest,0.7767824044215776,0.3234412272760746,0.23912230918326954
Neural Net (MLP),0.20149428514157153,0.5712957739824166,0.4400626084064535
SVR (RBF Kernel),0.3556545760492911,0.5382675716453453,0.4452030740072218
Gaussian Process,-1.1344892262748814,1.0404494650316,0.7806495655908547
Gradient Boosting (Tuned),0.7752480950749444,0.32242196009762675,0.25035763635650515
