period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,3.786,0.142,3.644,720,37440,1.002,EKZ Mixstrom Business,5.742,0.23,5.512,0,0,5.742,0.05,2.3,11.507,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.187,0.158,4.029,720,14040,0.995,EKZ Mixstrom Business,5.714,0.229,5.485,0,0,5.714,0.65,2.3,12.464,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400F,6.699,0.517,6.182,60,0,6.259,EKZ Mixstrom Gewerbe,6.506,0.521,5.986,36,0,6.386,0.16,2.3,14.628,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.191,0.396,4.795,720,4800,1.271,EKZ Mixstrom Business,5.851,0.468,5.383,0,0,5.851,0.16,2.3,12.637,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400F,6.252,0.481,5.771,60,0,5.212,EKZ Mixstrom Privat,6.588,0.527,6.061,36,0,6.108,0.65,2.3,14.782,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400F,5.914,0.454,5.46,60,0,4.341,EKZ Mixstrom Privat,6.677,0.534,6.143,36,0,5.877,0.65,2.3,14.553,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.245,0.12,3.125,720,152568,0.961,EKZ Mixstrom Business,5.591,0.224,5.368,0,0,5.591,0.01,2.3,10.803,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.491,0.34,4.151,720,14400,1.227,EKZ Mixstrom Business,5.714,0.457,5.256,0,0,5.714,0.16,2.3,11.867,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,5.399,0.413,4.987,120,0,4.236,EKZ Mixstrom Privat & EKZ Mixstrom WP,6.443,0.515,5.928,72,0,5.889,0.65,2.3,13.864,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400F,6.699,0.517,6.182,60,0,6.259,EKZ Mixstrom Gewerbe,6.506,0.521,5.986,36,0,6.386,0.65,2.3,15.118,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400F,6.785,0.524,6.261,60,0,5.212,EKZ Mixstrom Privat,6.908,0.553,6.356,36,0,6.108,0.65,2.3,15.567,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400F,7.813,0.606,7.208,60,0,5.173,EKZ Mixstrom Privat,7.538,0.603,6.935,36,0,6.098,0.16,2.3,16.603,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.187,0.158,4.029,720,14040,0.995,EKZ Mixstrom Business,5.714,0.229,5.485,0,0,5.714,0.16,2.3,11.974,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.191,0.396,4.795,720,4800,1.271,EKZ Mixstrom Business,5.851,0.468,5.383,0,0,5.851,0.65,2.3,13.127,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400F,4.127,0.311,3.816,60,0,3.647,EKZ Mixstrom Privat,5.836,0.467,5.369,36,0,5.692,0.16,2.3,11.646,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,5.399,0.413,4.987,120,0,4.236,EKZ Mixstrom Privat & EKZ Mixstrom WP,6.443,0.515,5.928,72,0,5.889,0.16,2.3,13.374,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400F,9.233,0.719,8.513,60,0,5.243,EKZ Mixstrom Privat,8.366,0.669,7.697,36,0,6.116,0.65,2.3,19.16,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400F,5.498,0.421,5.078,60,0,4.458,EKZ Mixstrom Privat,6.388,0.511,5.877,36,0,5.908,0.65,2.3,13.904,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400F,5.498,0.421,5.078,60,0,4.458,EKZ Mixstrom Privat,6.388,0.511,5.877,36,0,5.908,0.16,2.3,13.414,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400F,5.914,0.454,5.46,60,0,4.341,EKZ Mixstrom Privat,6.677,0.534,6.143,36,0,5.877,0.16,2.3,14.063,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.245,0.12,3.125,720,152568,0.961,EKZ Mixstrom Business,5.591,0.224,5.368,0,0,5.591,0.5,2.3,11.293,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,3.786,0.142,3.644,720,37440,1.002,EKZ Mixstrom Business,5.742,0.23,5.512,0,0,5.742,0.54,2.3,11.997,,
2019,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.491,0.34,4.151,720,14400,1.227,EKZ Mixstrom Business,5.714,0.457,5.256,0,0,5.714,0.65,2.3,12.357,,
