period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ Netz 400F,5.634,0,5.634,60,0,4.934,EKZ Mixstrom,10.583,0,10.583,36,0,10.439,0.16,2.3,18.677,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ Netz 400F,7.78,0,7.78,60,0,5.987,EKZ Mixstrom,11.638,0,11.638,36,0,10.838,0.16,2.3,21.878,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ Netz 400F,5.634,0,5.634,60,0,4.934,EKZ Mixstrom,10.583,0,10.583,36,0,10.439,0.65,2.3,19.167,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ Netz 400F,7.501,0,7.501,60,0,6.841,EKZ Mixstrom,11.282,0,11.282,36,0,11.162,0.65,2.3,21.733,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ Netz 400F,8.085,0,8.085,60,0,6.875,EKZ Mixstrom,11.625,0,11.625,36,0,11.175,0.16,2.3,22.17,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.548,0,4.548,720,14580,1.028,EKZ Mixstrom Business,10.597,0,10.597,0,0,10.597,0.65,2.3,18.096,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ Netz 400F,7.501,0,7.501,60,0,6.841,EKZ Mixstrom,11.282,0,11.282,36,0,11.162,0.16,2.3,21.243,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,6.31,0,6.31,720,5820,1.49,EKZ Mixstrom Business,10.764,0,10.764,0,0,10.764,0.65,2.3,20.024,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ Netz 400F,7.198,0,7.198,60,0,5.404,EKZ Mixstrom,11.417,0,11.417,36,0,10.617,0.16,2.3,21.075,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ Netz 400F,8.085,0,8.085,60,0,6.875,EKZ Mixstrom,11.625,0,11.625,36,0,11.175,0.65,2.3,22.66,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.13,0,4.13,720,38880,1.03,EKZ Mixstrom Business,10.613,0,10.613,0,0,10.613,0.05,2.3,17.093,,
2023,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,6.588,0,6.588,120,0,5.205,EKZ Mixstrom,10.984,0,10.984,36,0,10.707,0.16,2.3,20.032,,
