period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,5.585,0,5.585,120,0,4.502,EKZ Mixstrom,7.253,0,7.253,72,0,6.7,0.65,2.3,15.788,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.251,0,5.251,720,5010,1.271,EKZ Mixstrom Business,7.233,0,7.233,0,0,7.233,0.65,2.3,15.433,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400F,7.962,0,7.962,60,0,5.402,EKZ Mixstrom,8.304,0,8.304,36,0,6.864,0.16,2.3,18.726,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400F,7.419,0,7.419,60,0,6.509,EKZ Mixstrom,7.722,0,7.722,36,0,7.272,0.16,2.3,17.601,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.537,0,4.537,720,15030,1.227,EKZ Mixstrom Business,7.058,0,7.058,0,0,7.058,0.65,2.3,14.545,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.002,0,4.002,720,13680,0.962,EKZ Mixstrom Business,7.058,0,7.058,0,0,7.058,0.65,2.3,14.01,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.086,0,3.086,720,148656,0.934,EKZ Mixstrom Business,6.903,0,6.903,0,0,6.903,0.01,2.3,12.299,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400F,6.806,0,6.806,60,0,6.446,EKZ Mixstrom,7.369,0,7.369,36,0,7.249,0.65,2.3,17.125,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.537,0,4.537,720,15030,1.227,EKZ Mixstrom Business,7.058,0,7.058,0,0,7.058,0.16,2.3,14.055,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400F,4.334,0,4.334,60,0,3.934,EKZ Mixstrom,6.467,0,6.467,36,0,6.323,0.16,2.3,13.261,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.002,0,4.002,720,13680,0.962,EKZ Mixstrom Business,7.058,0,7.058,0,0,7.058,0.16,2.3,13.52,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,3.609,0,3.609,720,36480,0.969,EKZ Mixstrom Business,7.094,0,7.094,0,0,7.094,0.54,2.3,13.543,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400F,6.932,0,6.932,60,0,5.439,EKZ Mixstrom,7.678,0,7.678,36,0,6.878,0.16,2.3,17.07,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.086,0,3.086,720,148656,0.934,EKZ Mixstrom Business,6.903,0,6.903,0,0,6.903,0.5,2.3,12.789,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400F,7.962,0,7.962,60,0,5.402,EKZ Mixstrom,8.304,0,8.304,36,0,6.864,0.65,2.3,19.216,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400F,6.399,0,6.399,60,0,5.439,EKZ Mixstrom,7.358,0,7.358,36,0,6.878,0.65,2.3,16.707,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400F,9.379,0,9.379,60,0,5.469,EKZ Mixstrom,9.139,0,9.139,36,0,6.889,0.65,2.3,21.467,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,3.609,0,3.609,720,36480,0.969,EKZ Mixstrom Business,7.094,0,7.094,0,0,7.094,0.05,2.3,13.053,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400F,7.419,0,7.419,60,0,6.509,EKZ Mixstrom,7.722,0,7.722,36,0,7.272,0.65,2.3,18.091,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400F,5.674,0,5.674,60,0,4.714,EKZ Mixstrom,7.091,0,7.091,36,0,6.611,0.65,2.3,15.715,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400F,4.334,0,4.334,60,0,3.934,EKZ Mixstrom,6.467,0,6.467,36,0,6.323,0.65,2.3,13.751,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400F,6.806,0,6.806,60,0,6.446,EKZ Mixstrom,7.369,0,7.369,36,0,7.249,0.16,2.3,16.635,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400F,9.379,0,9.379,60,0,5.469,EKZ Mixstrom,9.139,0,9.139,36,0,6.889,0.16,2.3,20.977,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400F,6.932,0,6.932,60,0,5.439,EKZ Mixstrom,7.678,0,7.678,36,0,6.878,0.65,2.3,17.56,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,5.585,0,5.585,120,0,4.502,EKZ Mixstrom,7.253,0,7.253,72,0,6.7,0.16,2.3,15.298,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.251,0,5.251,720,5010,1.271,EKZ Mixstrom Business,7.233,0,7.233,0,0,7.233,0.16,2.3,14.943,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400F,5.674,0,5.674,60,0,4.714,EKZ Mixstrom,7.091,0,7.091,36,0,6.611,0.16,2.3,15.225,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400F,6.095,0,6.095,60,0,4.601,EKZ Mixstrom,7.369,0,7.369,36,0,6.569,0.16,2.3,15.923,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400F,6.399,0,6.399,60,0,5.439,EKZ Mixstrom,7.358,0,7.358,36,0,6.878,0.16,2.3,16.217,,
2020,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400F,6.095,0,6.095,60,0,4.601,EKZ Mixstrom,7.369,0,7.369,36,0,6.569,0.65,2.3,16.413,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C5,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H7,Niederspannung (400V): Grundpreistarif,5.272,0,5.272,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.322,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H5,Niederspannung (400V): Grundpreistarif,5.61,0,5.61,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.66,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C3,Niederspannung (400V): Grundpreistarif,4.85,0,4.85,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,13.9,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C6,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H4,Niederspannung (400V): Grundpreistarif,6.143,0,6.143,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,15.193,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C1,Niederspannung (400V): Grundpreistarif,5.56,0,5.56,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.61,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C4,Niederspannung (400V): Grundpreistarif,4.822,0,4.822,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,13.872,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H8,Niederspannung (400V): Grundpreistarif,5.61,0,5.61,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.66,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C7,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C1,Niederspannung (400V): Grundpreistarif,5.56,0,5.56,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.61,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H7,Niederspannung (400V): Grundpreistarif,5.272,0,5.272,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.322,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C5,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H8,Niederspannung (400V): Grundpreistarif,5.61,0,5.61,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.66,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C7,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C4,Niederspannung (400V): Grundpreistarif,4.822,0,4.822,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,13.872,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H2,Niederspannung (400V): Grundpreistarif,7.21,0,7.21,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,16.26,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C3,Niederspannung (400V): Grundpreistarif,4.85,0,4.85,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,13.9,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H2,Niederspannung (400V): Grundpreistarif,7.21,0,7.21,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,16.26,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H3,Niederspannung (400V): Grundpreistarif,6.143,0,6.143,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,15.193,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H3,Niederspannung (400V): Grundpreistarif,6.143,0,6.143,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,15.193,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H5,Niederspannung (400V): Grundpreistarif,5.61,0,5.61,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.66,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,C2,Niederspannung (400V): Grundpreistarif,5.01,0,5.01,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.06,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H1,Niederspannung (400V): Grundpreistarif,8.56,0,8.56,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,17.61,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H6,Niederspannung (400V): Grundpreistarif,5.05,0,5.05,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.1,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H6,Niederspannung (400V): Grundpreistarif,5.05,0,5.05,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.1,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C2,Niederspannung (400V): Grundpreistarif,5.01,0,5.01,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,14.06,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C6,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H1,Niederspannung (400V): Grundpreistarif,8.56,0,8.56,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,17.61,,
2020,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",cheapest,H4,Niederspannung (400V): Grundpreistarif,6.143,0,6.143,60,0,4.65,Standard,6.25,0,6.25,0,0,6.25,0.5,2.3,15.193,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C7,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H1,Haushalt und Gewerbe,6.189,0,6.189,60,0,2.279,Hauhalt und Gewerbe,6.784,0,6.784,0,0,6.784,0.5,2.3,15.772,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C2,Haushalt und Gewerbe,3.307,0,3.307,60,0,2.947,Haushalt und Gewerbe,7.298,0,7.298,0,0,7.298,0.5,2.3,13.405,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C6,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H4,Haushalt und Gewerbe,3.752,0,3.752,60,0,2.258,Haushalt und Gewerbe,6.768,0,6.768,0,0,6.768,0.5,2.3,13.32,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H3,Haushalt und Gewerbe,3.178,0,3.178,60,0,1.685,Haushalt und Gewerbe,6.327,0,6.327,0,0,6.327,0.5,2.3,12.305,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H6,Haushalt und Gewerbe,1.629,0,1.629,60,0,1.229,Haushalt und Gewerbe,5.976,0,5.976,0,0,5.976,0.5,2.3,10.405,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C3,NS 2,3.469,0,3.469,300,3000,1.109,NS 2,5.515,0,5.515,0,0,5.515,0.5,2.3,11.784,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H7,Haushalt und Gewerbe sowie Wärmepumpe,2.609,0,2.609,96,0,1.711,Haushalt und Gewerbe sowie Wärmepumpe,6.037,0,6.037,0,0,6.037,0.5,2.3,11.446,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H5,Haushalt und Gewerbe,2.722,0,2.722,60,0,1.762,Haushalt und Gewerbe,6.386,0,6.386,0,0,6.386,0.5,2.3,11.909,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C1,Haushalt und Gewerbe,3.901,0,3.901,60,0,2.991,Haushalt und Gewerbe,7.331,0,7.331,0,0,7.331,0.5,2.3,14.032,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H2,Haushalt und Gewerbe,4.793,0,4.793,60,0,2.233,Haushalt und Gewerbe,6.749,0,6.749,0,0,6.749,0.5,2.3,14.342,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C5,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H8,Haushalt und Gewerbe,3.219,0,3.219,60,0,2.259,Haushalt und Gewerbe,6.768,0,6.768,0,0,6.768,0.5,2.3,12.787,,
2020,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C4,NS 2,3.079,0,3.079,300,9000,1.059,NS 2,5.303,0,5.303,0,0,5.303,0.5,2.3,11.182,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C6,Mittelspannung,3.584,0,3.584,1200,24960,1.68,EGM EKZ Mixstrom Business NS,6.856,0,6.856,0,0,6.856,0,2.37,12.81,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H8,Haushalt 230/400V  kleiner 100MWh,8.25,0,8.25,78,0,7.05,EGM EKZ Mixstrom Privat und Gewerbe,7.403,0,7.403,36,0,6.923,0,2.3,17.952,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C3,Industrie 400/230V <100MW,5.344,0,5.344,480,3900,2.264,EGM EKZ Mixstrom Business NS,7.015,0,7.015,0,0,7.015,0,2.3,14.659,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C5,Mittelspannung,3.94,0,3.94,1200,9360,1.668,EGM EKZ Mixstrom Business NS,6.814,0,6.814,0,0,6.814,0,2.3,13.055,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C1,Haushalt 400/230V <100MW,9.49,0,9.49,78,0,8.355,EGM EKZ Mixstrom Privat und Gewerbe,7.857,0,7.857,36,0,7.407,0,2.3,19.647,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H3,Haushalt 230/400V  kleiner 100MWh,8.428,0,8.428,78,0,6.535,EGM EKZ Mixstrom Privat und Gewerbe,7.343,0,7.343,36,0,6.543,0,2.3,18.071,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H7,Haushalt 230/400V  kleiner 100MWh,6.272,0,6.272,78,0,5.512,EGM EKZ Mixstrom Privat und Gewerbe,6.981,0,6.981,36,0,6.704,0,2.3,15.553,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C4,Industrie 400/230V  >100MW,4.797,0,4.797,480,11700,2.201,EGM EKZ Mixstrom Business NS,6.814,0,6.814,0,0,6.814,0,2.3,13.911,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C2,Haushalt 400/230V <100MW,8.724,0,8.724,78,0,8.304,EGM EKZ Mixstrom Privat und Gewerbe,7.498,0,7.498,36,0,7.378,0,2.3,18.522,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H5,Haushalt 230/400V  kleiner 100MWh,6.345,0,6.345,78,0,5.145,EGM EKZ Mixstrom Privat und Gewerbe,7.074,0,7.074,36,0,6.594,0,2.3,15.719,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H2,Haushalt 230/400V  kleiner 100MWh,10.307,0,10.307,78,0,7.027,EGM EKZ Mixstrom Privat und Gewerbe,8.346,0,8.346,36,0,6.906,0,2.3,20.953,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H4,Haushalt 230/400V  kleiner 100MWh,8.944,0,8.944,78,0,7.051,EGM EKZ Mixstrom Privat und Gewerbe,7.722,0,7.722,36,0,6.922,0,2.3,18.967,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H6,Haushalt 230/400V  kleiner 100MWh,4.43,0,4.43,78,0,3.958,EGM EKZ Mixstrom Privat und Gewerbe,6.385,0,6.385,36,0,6.241,0,2.3,13.116,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C7,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2020,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H1,Haushalt 230/400V  kleiner 100MWh,12.107,0,12.107,78,0,7.072,EGM EKZ Mixstrom Privat und Gewerbe,9.186,0,9.186,36,0,6.936,0,2.3,23.593,,
2020,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H2,Haushalt,9.548,0,9.548,48,0,7.468,Haushalt,7.84,0,7.84,0,0,7.84,0,2.3,19.688,,
2020,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C6,Netz 16 kV,4.63,0,4.63,600,30864,2.373,Netz 16 kV,7.361,0,7.361,0,0,7.361,0,2.3,14.291,,
2020,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,H6,Haushalt,5.386,0,5.386,48,0,5.034,Haushalt,7.311,0,7.311,0,0,7.311,0,2.3,14.997,,
2020,CHE-113.528.647,"Politische Gemeinde Dietlikon, Gemeindewerke",standard,C4,Grosswerbe,8.687,0,8.687,600,25668,3.274,Grossgewerbe,7.268,0,7.268,0,0,7.268,0,2.3,18.256,,
