period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400,9.465,0.529,8.935,60,0,6.425,EKZ Mixstrom Privat,7.959,0.478,7.482,0,0,7.959,0,0.6,17.017,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400,5.045,0.264,4.78,60,0,4.165,EKZ Mixstrom Privat,6.974,0.418,6.556,0,0,6.974,0,0.6,11.936,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400 & EKZ Netz 400WP,6.606,0.358,6.248,115.2,0,5.08,EKZ Mixstrom Privat & EKZ Mixstrom WP,7.378,0.443,6.936,0,0,7.378,0,0.6,13.784,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,6.037,0.324,5.713,720,14400,2.373,EKZ Mixstrom Business,7.586,0.455,7.131,0,0,7.586,0,0.6,13.444,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.575,0.157,4.417,720,36480,1.455,EKZ Mixstrom Business,7.582,0.303,7.279,0,0,7.582,0,0.6,12.296,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400,9.519,0.533,8.986,60,0,8.129,EKZ Mixstrom Gewerbe,8.702,0.522,8.18,0,0,8.702,0,0.6,17.766,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,6.88,0.374,6.506,720,4800,2.56,EKZ Mixstrom Business,7.78,0.467,7.314,0,0,7.78,0,0.6,14.419,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400,7.165,0.391,6.773,60,0,5.191,EKZ Mixstrom Privat,7.422,0.445,6.977,0,0,7.422,0,0.6,14.35,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400,10.917,0.617,10.3,60,0,6.527,EKZ Mixstrom Privat,8.004,0.48,7.524,0,0,8.004,0,0.6,18.424,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400,7.922,0.437,7.485,60,0,6.482,EKZ Mixstrom Privat,7.984,0.479,7.505,0,0,7.984,0,0.6,15.59,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400,8.872,0.494,8.378,60,0,8.032,EKZ Mixstrom Gewerbe,8.66,0.52,8.14,0,0,8.66,0,0.6,17.118,,
2014,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400,6.805,0.37,6.436,60,0,5.365,EKZ Mixstrom Privat,7.498,0.45,7.048,0,0,7.498,0,0.6,14.083,,
