period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400,10.827,0.83,9.997,60,0,6.627,EKZ Mixstrom Privat,7.109,0.569,6.54,0,0,7.109,0.16,1.3,17.997,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,4.166,0.149,4.018,720,152568,1.673,EKZ Mixstrom Business,6.103,0.244,5.858,0,0,6.103,0.01,1.3,11.186,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,6.79,0.507,6.283,720,4800,2.66,EKZ Mixstrom Business,6.522,0.522,6,0,0,6.522,0.16,1.3,13.743,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400,4.955,0.36,4.594,60,0,4.265,EKZ Mixstrom Privat,6.322,0.506,5.816,0,0,6.322,0.16,1.3,11.87,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400,8.782,0.667,8.115,60,0,8.132,EKZ Mixstrom Gewerbe,7.611,0.609,7.002,0,0,7.611,0.16,1.3,16.577,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400,9.375,0.714,8.661,60,0,6.525,EKZ Mixstrom Privat,7.075,0.566,6.509,0,0,7.075,0.16,1.3,16.629,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.749,0.172,4.577,720,37440,1.755,EKZ Mixstrom Business,6.34,0.254,6.086,0,0,6.34,0.05,1.3,12.013,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400,7.075,0.53,6.545,60,0,5.291,EKZ Mixstrom Privat,6.664,0.533,6.131,0,0,6.664,0.16,1.3,14.135,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400,9.429,0.718,8.711,60,0,8.229,EKZ Mixstrom Gewerbe,7.643,0.611,7.032,0,0,7.643,0.16,1.3,17.202,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400,6.715,0.501,6.214,60,0,5.465,EKZ Mixstrom Privat,6.722,0.538,6.184,0,0,6.722,0.16,1.3,13.858,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400 & EKZ Netz 400WP,6.648,0.496,6.152,120,0,5.274,EKZ Mixstrom Privat & EKZ Mixstrom WP,6.639,0.531,6.108,0,0,6.639,0.16,1.3,13.72,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,5.141,0.188,4.954,720,14040,1.739,EKZ Mixstrom Business,6.361,0.254,6.106,0,0,6.361,0.16,1.3,12.52,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400,7.832,0.591,7.241,60,0,6.582,EKZ Mixstrom Privat,7.094,0.568,6.526,0,0,7.094,0.16,1.3,15.228,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,5.947,0.44,5.507,720,14400,2.473,EKZ Mixstrom Business,6.361,0.509,5.852,0,0,6.361,0.16,1.3,12.819,,
2016,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400,8.365,0.633,7.731,60,0,6.581,EKZ Mixstrom Privat,7.094,0.567,6.526,0,0,7.094,0.16,1.3,15.718,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H7,Niederspannung (400V): Grundpreistarif,5.562,0,5.562,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,12.862,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C3,Niederspannung (400V): Grundpreistarif,5.14,0,5.14,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,12.44,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H3,Niederspannung (400V): Grundpreistarif,6.433,0,6.433,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,13.733,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H4,Niederspannung (400V): Grundpreistarif,6.433,0,6.433,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,13.733,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H2,Niederspannung (400V): Grundpreistarif,7.5,0,7.5,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,14.8,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H6,Niederspannung (400V): Grundpreistarif,5.34,0,5.34,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,12.64,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H8,Niederspannung (400V): Grundpreistarif,5.9,0,5.9,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,13.2,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H1,Niederspannung (400V): Grundpreistarif,8.85,0,8.85,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,16.15,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C4,Niederspannung (400V): Grundpreistarif,5.112,0,5.112,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,12.412,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H5,Niederspannung (400V): Grundpreistarif,5.9,0,5.9,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,13.2,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C1,Niederspannung (400V): Grundpreistarif,5.85,0,5.85,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,13.15,,
2016,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C2,Niederspannung (400V): Grundpreistarif,5.3,0,5.3,60,0,4.65,Niederspannung (400V): Grundpreistarif,5.5,0,5.5,0,0,5.5,0.5,1.3,12.6,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H6,Haushalt GH,2.089,0,2.089,72,0,1.351,Haushalt GH,4.295,0,4.295,0,0,4.295,0.5,1.3,8.184,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C5,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C4,Gewerbe NS2,4.304,0,4.304,600,12375,1.259,Gewerbe NS2,5.457,0,5.457,0,0,5.457,0.5,1.3,11.561,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C3,Gewerbe NS1,4.909,0,4.909,600,4125,1.309,Gewerbe NS1,5.369,0,5.369,0,0,5.369,0.5,1.3,12.079,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C6,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C2,Gewerbe,7.686,0,7.686,72,900,3.996,Gewerbe,5.768,0,5.768,0,0,5.768,0.5,1.3,15.254,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H5,Haushalt GH,3.58,0,3.58,72,0,2.17,Haushalt GH,4.742,0,4.742,0,0,4.742,0.5,1.3,10.122,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C7,KEIN NAME,0,0,0,0,0,0,KEIN NAME,0,0,0,0,0,0,0,0,0,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H4,Haushalt GH,4.986,0,4.986,72,0,2.936,Haushalt GH,5.169,0,5.169,0,0,5.169,0.5,1.3,11.955,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H7,Wärmepumle UL,2.797,0,2.797,36,0,2.07,Wärmepumle UL,4.492,0,4.492,0,0,4.492,0.5,1.3,9.09,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H1,Haushalt GH,7.919,0,7.919,72,0,2.969,Hauhalt GH,5.182,0,5.182,0,0,5.182,0.5,1.3,14.901,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H3,Haushalt GH,4.104,0,4.104,72,0,2.054,Haushalt GH,4.68,0,4.68,0,0,4.68,0.5,1.3,10.584,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H8,Haushalt GH,4.346,0,4.346,72,0,2.936,Haushalt GH,5.165,0,5.165,0,0,5.165,0.5,1.3,11.311,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H2,Haushalt GH,6.227,0,6.227,72,0,2.897,Haushalt GH,5.143,0,5.143,0,0,5.143,0.5,1.3,13.171,,
2016,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C1,Gewerbe,5.413,0,5.413,72,0,4.063,Gewerbe,5.784,0,5.784,0,0,5.784,0.5,1.3,12.997,,
2016,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H7,Netznutzung - Haushalt 400_230V 2016,7.187,0,7.187,78,0,6.137,EGM-EKZ-Mixstrom Privat 2016,6.456,0,6.456,0,0,6.456,0,1.3,14.943,,
2016,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H2,Netznutzung - Haushalt 400_230V 2016,10.395,0,10.395,78,0,6.825,EGM-EKZ-Mixstrom Privat 2016,6.666,0,6.666,0,0,6.666,0,1.3,18.361,,
2016,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H5,Netznutzung - Haushalt 400_230V 2016,7.255,0,7.255,78,0,5.765,EGM-EKZ-Mixstrom Privat 2016,6.342,0,6.342,0,0,6.342,0,1.3,14.898,,
