period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ Netz 400F,9.454,0,9.454,60,0,5.544,EKZ Mixstrom,9.114,0,9.114,36,0,6.864,0.65,2.3,21.518,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ Netz 400F,6.475,0,6.475,60,0,5.515,EKZ Mixstrom,7.333,0,7.333,36,0,6.853,0.65,2.3,16.759,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ Netz 400F,6.869,0,6.869,60,0,6.509,EKZ Mixstrom,7.331,0,7.331,36,0,7.211,0.65,2.3,17.15,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ Netz 400F,5.76,0,5.76,60,0,4.8,EKZ Mixstrom,7.076,0,7.076,36,0,6.596,0.16,2.3,15.296,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ Netz 400F,7.008,0,7.008,60,0,5.515,EKZ Mixstrom,7.653,0,7.653,36,0,6.853,0.65,2.3,17.612,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,5.676,0,5.676,120,0,4.593,EKZ Mixstrom,6.959,0,6.959,36,0,6.682,0.16,2.3,15.095,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.038,0,4.038,720,13860,0.962,EKZ Mixstrom Business,6.443,0,6.443,0,0,6.443,0.16,2.3,12.941,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ Netz 400F,4.43,0,4.43,60,0,4.03,EKZ Mixstrom,6.463,0,6.463,36,0,6.319,0.65,2.3,13.843,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,3.112,0,3.112,720,150612,0.934,EKZ Mixstrom Business,6.299,0,6.299,0,0,6.299,0.01,2.3,11.721,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ Netz 400F,6.869,0,6.869,60,0,6.509,EKZ Mixstrom,7.331,0,7.331,36,0,7.211,0.16,2.3,16.66,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ Netz 400F,7.008,0,7.008,60,0,5.515,EKZ Mixstrom,7.653,0,7.653,36,0,6.853,0.16,2.3,17.122,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,3.641,0,3.641,720,36960,0.969,EKZ Mixstrom Business,6.477,0,6.477,0,0,6.477,0.05,2.3,12.467,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.627,0,4.627,720,15480,1.227,EKZ Mixstrom Business,6.443,0,6.443,0,0,6.443,0.16,2.3,13.53,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,4.627,0,4.627,720,15480,1.227,EKZ Mixstrom Business,6.443,0,6.443,0,0,6.443,0.65,2.3,14.02,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ Netz 400F,8.039,0,8.039,60,0,5.479,EKZ Mixstrom,8.28,0,8.28,36,0,6.84,0.16,2.3,18.779,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,3.641,0,3.641,720,36960,0.969,EKZ Mixstrom Business,6.477,0,6.477,0,0,6.477,0.54,2.3,12.957,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ Netz 400F,7.481,0,7.481,60,0,6.571,EKZ Mixstrom,7.684,0,7.684,36,0,7.234,0.16,2.3,17.625,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.038,0,4.038,720,13860,0.962,EKZ Mixstrom Business,6.443,0,6.443,0,0,6.443,0.65,2.3,13.431,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,5.676,0,5.676,120,0,4.593,EKZ Mixstrom,6.959,0,6.959,36,0,6.682,0.65,2.3,15.585,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.351,0,5.351,720,5160,1.271,EKZ Mixstrom Business,6.605,0,6.605,0,0,6.605,0.65,2.3,14.906,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ Netz 400F,4.43,0,4.43,60,0,4.03,EKZ Mixstrom,6.463,0,6.463,36,0,6.319,0.16,2.3,13.353,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ Netz 400F,6.181,0,6.181,60,0,4.688,EKZ Mixstrom,7.356,0,7.356,36,0,6.556,0.16,2.3,15.997,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,5.351,0,5.351,720,5160,1.271,EKZ Mixstrom Business,6.605,0,6.605,0,0,6.605,0.16,2.3,14.416,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ Netz 400F,9.454,0,9.454,60,0,5.544,EKZ Mixstrom,9.114,0,9.114,36,0,6.864,0.16,2.3,21.028,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ Netz 400F,6.181,0,6.181,60,0,4.688,EKZ Mixstrom,7.356,0,7.356,36,0,6.556,0.65,2.3,16.487,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ Netz 400F,5.76,0,5.76,60,0,4.8,EKZ Mixstrom,7.076,0,7.076,36,0,6.596,0.65,2.3,15.786,,
2021,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ Netz 400F,6.475,0,6.475,60,0,5.515,EKZ Mixstrom,7.333,0,7.333,36,0,6.853,0.16,2.3,16.269,,
