period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400,9.465,0.535,8.929,60,0,6.525,EKZ Mixstrom Privat,7.541,0.452,7.088,0,0,7.541,0.16,1.1,17.278,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400,5.045,0.27,4.774,60,0,4.265,EKZ Mixstrom Privat,6.652,0.399,6.253,0,0,6.652,0.16,1.1,12.288,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,4.959,0.177,4.782,720,13680,1.539,EKZ Mixstrom Business,6.945,0.278,6.667,0,0,6.945,0.16,1.1,12.709,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.575,0.161,4.413,720,36480,1.555,EKZ Mixstrom Business,6.925,0.277,6.648,0,0,6.925,0.05,1.1,12.212,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400,8.455,0.475,7.98,60,0,6.581,EKZ Mixstrom Privat,7.563,0.454,7.109,0,0,7.563,0.16,1.1,16.349,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400,7.922,0.443,7.479,60,0,6.582,EKZ Mixstrom Privat,7.563,0.454,7.11,0,0,7.563,0.16,1.1,15.848,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,6.88,0.38,6.5,720,4800,2.66,EKZ Mixstrom Business,7.135,0.428,6.707,0,0,7.135,0.16,1.1,14.467,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,6.037,0.33,5.707,720,14400,2.473,EKZ Mixstrom Business,6.945,0.417,6.528,0,0,6.945,0.16,1.1,13.495,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400,9.519,0.539,8.98,60,0,8.229,EKZ Mixstrom Gewerbe,8.211,0.493,7.718,0,0,8.211,0.16,1.1,17.958,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C7,EKZ Netz 16L,4.004,0.139,3.866,720,148656,1.473,EKZ Mixstrom Business,6.65,0.266,6.384,0,0,6.65,0.01,1.1,11.36,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400,10.917,0.623,10.294,60,0,6.627,EKZ Mixstrom Privat,7.581,0.455,7.126,0,0,7.581,0.16,1.1,18.681,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400 & EKZ Netz 400WP,6.606,0.364,6.242,115.2,0,5.18,EKZ Mixstrom Privat & EKZ Mixstrom WP,7.055,0.423,6.632,0,0,7.055,0.16,1.1,14.134,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400,6.805,0.376,6.43,60,0,5.465,EKZ Mixstrom Privat,7.124,0.427,6.697,0,0,7.124,0.16,1.1,14.386,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400,7.165,0.397,6.767,60,0,5.291,EKZ Mixstrom Privat,7.056,0.423,6.633,0,0,7.056,0.16,1.1,14.66,,
2015,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400,8.872,0.5,8.372,60,0,8.132,EKZ Mixstrom Gewerbe,8.173,0.49,7.682,0,0,8.173,0.16,1.1,17.314,,
2015,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H7,Niederspannung (400V): Grundpreistarif,5.252,0,5.252,60,0,4.25,Niederspannung (400V): Grundpreistarif bis 100 MWh,6.7,0,6.7,0,0,6.7,0.5,1.1,13.552,,
2015,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H8,Niederspannung (400V): Grundpreistarif,5.59,0,5.59,60,0,4.25,Niederspannung (400V): Grundpreistarif bis 100 MWh,6.7,0,6.7,0,0,6.7,0.5,1.1,13.89,,
